Date,Open,High,Low,Close,Adj Close,Volume,Stock,putWidth,putPremium,putIV,dt
2020-10-08,115.94999694824219,117.48999786376953,113.0999984741211,113.44999694824219,113.44999694824219,2589800,MTCH,5.0,0.0,0.015634843750000002,
2020-10-09,113.63999938964844,114.4000015258789,111.66000366210938,112.37999725341797,112.37999725341797,1696700,MTCH,5.0,0.0,0.015634843750000002,
2020-10-12,112.5,113.94000244140625,108.8499984741211,110.30000305175781,110.30000305175781,2160200,MTCH,5.0,0.0,0.015634843750000002,
2020-10-13,112.0,113.4000015258789,110.38999938964844,111.16000366210938,111.16000366210938,2181600,MTCH,5.0,0.0,0.015634843750000002,
2020-10-14,111.87000274658203,112.50499725341797,109.27999877929688,109.7699966430664,109.7699966430664,1439400,MTCH,5.0,0.0,0.015634843750000002,
2020-10-15,108.19999694824219,112.10399627685547,107.05000305175781,111.16999816894531,111.16999816894531,1754500,MTCH,5.0,0.0,0.015634843750000002,
2020-10-16,112.55999755859375,113.06999969482422,110.41999816894531,112.20999908447266,112.20999908447266,1485600,MTCH,5.0,0.0,0.015634843750000002,
2020-10-19,112.29000091552734,115.6050033569336,111.58999633789062,113.0,113.0,1942000,MTCH,5.0,0.0,0.015634843750000002,
2020-10-20,113.66999816894531,116.56500244140625,113.22000122070312,114.86000061035156,114.86000061035156,1637400,MTCH,5.0,0.0,0.015634843750000002,
2020-10-21,116.25,119.31999969482422,115.58999633789062,118.05999755859375,118.05999755859375,2156300,MTCH,5.0,0.0,0.015634843750000002,
2020-10-22,117.66999816894531,118.11000061035156,114.51300048828125,116.72000122070312,116.72000122070312,1548300,MTCH,5.0,0.0,0.015634843750000002,
2020-10-23,118.06999969482422,120.37999725341797,116.52999877929688,120.30000305175781,120.30000305175781,1197600,MTCH,5.0,0.0,0.015634843750000002,
2020-10-26,118.69000244140625,122.0,117.65299987792969,119.26000213623047,119.26000213623047,1945700,MTCH,5.0,0.0,0.015634843750000002,
2020-10-27,119.41000366210938,127.41999816894531,119.30999755859375,125.77999877929688,125.77999877929688,3451300,MTCH,5.0,0.0,0.015634843750000002,
2020-10-28,123.05000305175781,123.44999694824219,118.12999725341797,118.5199966430664,118.5199966430664,2030400,MTCH,5.0,0.0,0.015634843750000002,
2020-10-29,119.52999877929688,123.69000244140625,119.0,122.12000274658203,122.12000274658203,1622300,MTCH,5.0,0.0,0.015634843750000002,
2020-08-03,71.02999877929688,74.55799865722656,68.87999725341797,73.7699966430664,73.7699966430664,1247600,SDGR,5.0,0.0,0.0312596875,
2020-08-04,73.48999786376953,76.625,71.55999755859375,72.61000061035156,72.61000061035156,2146300,SDGR,5.0,0.0,0.0312596875,
2020-08-05,73.1500015258789,76.58000183105469,72.62000274658203,76.0,76.0,1551600,SDGR,5.0,0.0,0.0312596875,
2020-08-06,76.0,76.25,71.69999694824219,71.9800033569336,71.9800033569336,1197400,SDGR,5.0,0.0,0.0312596875,
